source	x	y	sd	baseline	amplitude	r2
0	4.5158114	-1.8770518	1.6168625	-0.39264488	0.18109658	0.41076726
1	4.3509564	-2.1542683	1.6153593	-0.27064872	0.12638363	0.3100034
2	5.5570817	-2.4104795	1.7955848	-0.49678376	0.22300018	0.5055687
3	6.0779824	-2.4320393	1.2716659	-0.3043185	0.179833	0.39918494
4	10.121924	-4.740346	3.4009094	-0.4496301	0.48707813	0.4365384
5	10.105511	-3.9522684	2.653092	-0.5186347	0.6404379	0.6077912
6	10.531768	-4.363739	2.274418	-0.24500382	0.5102222	0.29377776
7	10.953439	-4.78064	2.025077	-0.36907566	1.4464201	0.5089791
8	10.037771	-5.003194	1.4267505	-0.2499215	1.076679	0.40335906
9	11.160136	-4.3757396	1.9754263	-0.18209755	0.7791111	0.25846767
10	10.159503	-4.878469	1.2389368	-0.21128485	1.2953862	0.29420775
11	8.091492	-4.390912	0.28637403	-0.08514139	0.22938539	
12	8.479999	-5.0017323	0.06163588	-0.10081734	0.7360311	
13	8.950638	-4.9773836	0.14095585	-0.0709411	0.73449874	
14	8.622969	5.0808005	0.11379281	-0.051920533	0.459902	
15	8.963762	-4.954255	0.12741566	-0.048206132	0.50432014	
16	1.0729982	-0.13963723	0.8478369	-0.058451798	0.031795867	0.023100376
17	2.7312052	-0.7138684	3.8368282	-0.42917007	0.100063264	0.2613327
18	2.5981364	-0.7559417	2.788522	-0.3350595	0.088685624	0.29025888
19	1.4796124	0.24395709	1.6298559	-0.17980969	0.065343395	0.12965184
20	2.0553148	-0.82128227	1.5463387	-0.42131293	0.17447068	0.44686103
21	1.5694441	-1.173324	1.0790309	-0.23735197	0.13870452	0.3445127
22	1.335396	-1.4588836	0.89168084	-0.21397097	0.15852726	0.33729494
23	1.767289	-1.4373262	1.4308554	-0.4829657	0.21923085	0.52654916
24	2.3662345	-0.1203831	1.3585656	-0.142278	0.06840098	0.10357356
25	-2.6222782	-1.4173466	0.08493081	-0.021974958	0.17444682	
26	1.4967382	-1.4097496	1.5606791	-0.70438564	0.2862916	0.8153732
27	2.2235284	-0.7959507	1.4710772	-0.48001075	0.21252054	0.48663974
28	2.194667	-1.4436151	1.522091	-0.4669955	0.206548	0.62093854
29	2.0322533	-1.809834	1.5130128	-0.44108257	0.19958735	0.5769247
30	2.2304459	-1.9646593	1.1641085	-0.22420679	0.1371264	0.32754815
31	3.375609	-1.3038336	1.5473316	-0.32777485	0.15139951	0.37818378
32	2.2772608	0.24934232	1.0567496	-0.14848214	0.093948066	0.17468005
33	2.467052	-0.058204208	1.3489643	-0.30200866	0.14810751	0.37128085
34	2.961738	-0.5201029	1.3914703	-0.51217574	0.25548762	0.60221183
35	2.95454	-0.69976586	1.5126016	-0.53930116	0.24627304	0.58796084
36	5.1448946	-1.8414166	2.0943134	-0.6411174	0.24419633	0.6544727
37	4.9320445	-2.4048517	2.3480392	-0.49715313	0.18281347	0.5554298
38	3.2935586	0.046648268	2.1017327	-0.2807729	0.09301112	0.25462395
39	3.9502041	-0.8442334	1.7382812	-0.5994516	0.24797077	0.5752928
40	5.78304	-1.732924	2.3085573	-0.724496	0.26788837	0.70124435
41	5.9213953	-3.6526728	2.3591835	-0.45025367	0.21252748	0.5204064
42	2.9585047	-0.45587996	2.0522566	-0.15368396	0.05141296	0.14205366
43	4.5295434	-0.5514409	1.6278172	-0.50070786	0.22336535	0.57826144
44	6.01896	-1.1832725	2.1080396	-0.7941069	0.30738017	0.7459972
45	-6.5238786	2.9902945	0.07763724	-0.046781585	0.4561692	
46	6.2611575	-1.4232028	1.5491691	-0.19532758	0.09644043	0.20861053
47	9.253564	-1.9523771	2.6328878	-0.7156482	0.49013805	0.7293592
48	7.443756	-5.847039	0.9811942	-0.2511646	0.95994157	0.3761223
49	-2.0746734	-4.177203	0.096084535	-0.06540541	0.5795492	
50	9.535505	-1.3487495	2.2277822	-0.49973488	0.4258178	0.5805892
51	8.219546	5.3754115	0.33203125	-0.16433807	1.5740218	
52	10.695235	-1.5892643	1.9702502	-0.40841174	0.81026673	0.55794394
53	-5.2810335	6.153839	0.74763846	-0.10157599	1.1438254	0.06148696
54	12.038584	-1.4019438	1.9332314	-0.31258947	2.0992768	0.46073097
55	8.488513	5.0832934	0.06797297	-0.16015992	1.3290358	
56	-4.5987206	5.873781	0.6088074	-0.096732676	1.0306132	0.05914229
57	8.473772	-4.913821	0.05877417	-0.16219078	1.1724454	
58	-8.478241	4.7704635	0.060409993	-0.09821967	0.6580012	
59	8.858824	5.1032643	0.15142335	-0.10345499	0.98645896	
60	-6.561627	7.163944	1.2530736	-0.1171057	1.3254097	0.056040406
61	-8.912044	5.076316	0.16123608	-0.060496733	0.5659152	
62	8.949163	5.0516653	0.13410364	-0.054811124	0.55469656	
63	-8.920949	5.063962	0.13697875	-0.05669174	0.54295063	
64	4.0063195	-0.13804477	5.4241934	0.33045867	-0.079963416	0.1855942
65	1.7508634	5.123556	0.20692971	-0.036205456	0.24230094	
66	0.38194883	-2.214847	0.74559826	-0.1156618	0.11069818	0.284575
67	2.1240435	1.333243	2.614537	-0.15913439	0.04407851	0.35091764
68	0.4103999	-0.008997071	0.38861403	-1.292823	0.5717437	
69	0.39222705	-1.9243869	1.0779915	-0.50240886	0.29641262	0.54647255
70	8.329436	-0.30586094	0.18412603	-0.044959508	0.17989774	
71	2.7911396	-0.16998468	3.5727894	-0.4876028	0.11489601	0.33470964
72	0.39899233	-0.27229303	0.3150269	-0.93780994	0.55094665	
73	-6.7465715	7.6444044	2.1810842	-0.04331735	0.13578019	0.029373586
74	-2.6662617	-0.2547038	1.9696617	-0.09485772	0.032315213	0.050453067
75	2.9624374	0.18779674	2.970504	-0.44595155	0.11388023	0.4257353
76	3.7314198	0.79026073	5.3055754	-0.33078626	0.07914736	0.18529886
77	2.3247855	-0.9759437	2.061851	-0.272723	0.08937637	0.30944252
78	2.4678571	1.8662966	1.7983618	-0.08355479	0.032619875	0.046685874
79	0.4903458	-2.4461796	0.17325707	-0.11145138	0.47264028	
80	1.0870302	-3.4851997	1.252136	-0.5548165	0.35873643	0.7369668
81	6.6534576	2.4816387	0.05676618	-0.04487722	0.32017398	
82	-6.6562223	5.0816755	0.052526664	-0.03624627	0.22872481	
83	8.586789	1.0400848	1.0168287	-0.07941774	0.08675955	0.06664026
84	2.2731116	-0.6765591	1.29768	-0.29801762	0.15109552	0.3514191
85	1.4588706	-1.7415167	0.056917932	-0.11415945	0.667869	
86	0.86006266	-2.527807	0.17565455	-0.042374276	0.17982067	
87	2.4956982	0.19757009	1.5954778	-0.18833153	0.077488706	0.20231766
88	2.3777444	-0.93863815	1.9329419	-0.40465745	0.14030792	0.41811663
89	1.6597081	-1.767579	1.8158497	-0.46121442	0.1715374	0.46810633
90	5.240723	0.9196412	3.7889414	-0.16941676	0.046176407	0.08382857
91	0.3390833	-2.4164648	0.063006096	-0.16834255	1.0971354	
92	1.056165	-3.4367073	1.1168376	-0.4590449	0.32309315	0.5335198
93	1.5963767	-3.8985279	1.2182329	-0.42789182	0.31013802	0.46769023
94	7.7862825	2.3615172	0.05276052	-0.058204178	0.409841	
95	-5.947524	4.106781	1.4012642	-0.049310155	0.033582967	0.021479666
96	-6.8215017	4.379762	2.0323136	-0.049536098	0.031910382	0.016672432
97	2.2216268	-0.8596047	1.2064596	-0.3559305	0.19626512	0.46955848
98	2.2550533	-1.1849825	1.7430674	-0.674371	0.2579605	0.70449793
99	2.0646105	-1.8816825	1.5073065	-0.58628374	0.2685036	0.741066
100	1.2611418	-2.2653568	0.8189925	-0.15789814	0.13930626	0.25175327
101	0.69590497	-2.3123722	0.62205714	-0.24757625	0.289273	0.4151392
102	1.1492219	-2.278693	1.1451982	-0.555568	0.33657065	0.6721674
103	1.868647	-2.3810816	1.2068753	-0.27472803	0.16364548	0.3132586
104	1.2536225	-2.405632	0.6330184	-0.08861981	0.10218073	0.08529693
105	1.8928006	-4.393356	1.1046703	-0.38478225	0.35319808	0.39826298
106	2.3083818	-4.659667	1.2416682	-0.43283308	0.4102503	0.46564955
107	9.708229	4.0812116	0.8389548	-0.06659006	0.32112786	0.052540958
108	3.518346	-1.3827362	3.2453449	-0.45193258	0.118581414	0.31856322
109	-5.491227	5.5619316	2.0982618	-0.06417114	0.055362944	0.031619787
110	-5.754326	8.049453	1.8145744	-0.14918011	1.1446495	0.143588
111	1.9545281	-0.52996534	1.5539248	-0.49618083	0.19974989	0.5650871
112	2.5414002	-0.6959181	2.081588	-0.8570756	0.27869403	0.73831654
113	2.6353092	-1.0512841	1.9414892	-0.84792805	0.298748	0.77123725
114	2.3918831	-1.1208495	1.6741779	-0.741838	0.29695398	0.7586542
115	2.170144	-0.9575816	1.7600408	-0.8442398	0.31436747	0.81849086
116	3.5982327	-2.378711	1.8890016	-0.61687106	0.2535748	0.69664353
117	4.394921	-3.3002288	1.9628996	-0.5217828	0.23924987	0.5513221
118	2.8191392	-2.9308903	0.49783003	-0.10606453	0.1550497	
119	1.5495089	-4.262963	0.11042281	-0.20156428	1.305952	
